id,trilha,curso,aula,tipo,prioridade,status,ordem_sugerida,observacoes
1,Fundamentos em Redes,036 - Como Estudar Redes do Zero,01 - CONVERSA INICIAL,aula,1,concluido,1,Curso em 25%
2,Fundamentos em Redes,036 - Como Estudar Redes do Zero,02 - POR ONDE COMEÇAR,aula,1,concluido,2,Curso em 25%
3,Fundamentos em Redes,036 - Como Estudar Redes do Zero,03 - COMO FAZER UM CRONOGRAMA DE ESTUDOS,aula,1,estudando,3,Curso em 25%
4,Fundamentos em Redes,036 - Como Estudar Redes do Zero,CRONOGRAMA DE ESTUDOS,material,1,estudando,4,Usar como base deste projeto
5,Fundamentos em Redes,036 - Como Estudar Redes do Zero,04 - TÉCNICAS DE ESTUDO,aula,1,nao_iniciado,5,
6,Fundamentos em Redes,036 - Como Estudar Redes do Zero,05 - REVISÃO OSI TCP/IP,aula,1,nao_iniciado,6,
7,Fundamentos em Redes,036 - Como Estudar Redes do Zero,06 - REVISÃO DE IP E NETMASK,aula,1,nao_iniciado,7,
8,Fundamentos em Redes,036 - Como Estudar Redes do Zero,Pesquisa Como Estudar Redes do Zero,pesquisa,1,nao_iniciado,8,
9,Infraestrutura e Virtualizacao,038 - Laboratório Virtual do Zero,DOWNLOAD DO VMWARE PLAYER,download,3,nao_iniciado,60,Nao priorizar antes da base
10,Infraestrutura e Virtualizacao,038 - Laboratório Virtual do Zero,01 - CONVERSA INICIAL,aula,3,nao_iniciado,61,
11,Infraestrutura e Virtualizacao,038 - Laboratório Virtual do Zero,02 - FORMAS DE UTILIZAR UM LAB,aula,3,nao_iniciado,62,
12,Infraestrutura e Virtualizacao,038 - Laboratório Virtual do Zero,03 - EXEMPLOS DE SOFTWARE PARA LAB,aula,3,nao_iniciado,63,
13,Infraestrutura e Virtualizacao,038 - Laboratório Virtual do Zero,04 - INSTALANDO O EVE-NG EM UMA VM,aula,3,nao_iniciado,64,
14,Infraestrutura e Virtualizacao,038 - Laboratório Virtual do Zero,05 - ADICIONANDO IMAGENS NO EVE-NG,aula,3,nao_iniciado,65,
15,Infraestrutura e Virtualizacao,038 - Laboratório Virtual do Zero,06 - INSTALANDO VM DO PNETLAB,aula,3,nao_iniciado,66,
16,Infraestrutura e Virtualizacao,038 - Laboratório Virtual do Zero,07 - LABORATORIOS AVANÇADOS,aula,3,nao_iniciado,67,
17,Infraestrutura e Virtualizacao,038 - Laboratório Virtual do Zero,Pesquisa Laboratório Virtual do Zero,pesquisa,3,nao_iniciado,68,
18,Infraestrutura e Virtualizacao,040 - Laboratório Virtual Avançado,01 - INTRODUÇÃO,aula,4,nao_iniciado,90,Avancado
19,Infraestrutura e Virtualizacao,040 - Laboratório Virtual Avançado,02 - IMAGEM PERSONALIZADA DE MIKROTIK,aula,4,nao_iniciado,91,Avancado
20,Infraestrutura e Virtualizacao,040 - Laboratório Virtual Avançado,QUIZ - 02 - IMAGEM PERSONALIZADA DE MIKROTIK,quiz,4,nao_iniciado,92,Avancado
21,Infraestrutura e Virtualizacao,040 - Laboratório Virtual Avançado,03 - IMAGEM PERSONALIZADA DE LINUX,aula,4,nao_iniciado,93,Avancado
22,Infraestrutura e Virtualizacao,040 - Laboratório Virtual Avançado,QUIZ - 03 - IMAGEM PERSONALIZADA DE LINUX,quiz,4,nao_iniciado,94,Avancado
23,Infraestrutura e Virtualizacao,040 - Laboratório Virtual Avançado,04 - LABORATÓRIO AVANÇADO DE BGP,aula,4,nao_iniciado,95,Avancado
24,Infraestrutura e Virtualizacao,040 - Laboratório Virtual Avançado,QUIZ - 04 - LABORATÓRIO AVANÇADO DE BGP,quiz,4,nao_iniciado,96,Avancado
25,Infraestrutura e Virtualizacao,040 - Laboratório Virtual Avançado,SCRIPTS DOS LINKS,material,4,nao_iniciado,97,Avancado
26,MikroTik Inicial,Curso de Redes Grátis 2.0,Apresentação Inicial,aula,2,nao_iniciado,20,
27,MikroTik Inicial,Curso de Redes Grátis 2.0,O que são RouterBoards,aula,2,nao_iniciado,21,
28,MikroTik Inicial,Curso de Redes Grátis 2.0,Conhecendo Alguns Modelos de RouterBoards,aula,2,nao_iniciado,22,
29,MikroTik Inicial,Curso de Redes Grátis 2.0,Conhecendo o RouterOS,aula,2,nao_iniciado,23,
30,MikroTik Inicial,Curso de Redes Grátis 2.0,Download do Laboratório,download,2,nao_iniciado,24,
31,MikroTik Inicial,Curso de Redes Grátis 2.0,01 - Conhecendo o Roteador,aula,2,nao_iniciado,25,
32,MikroTik Inicial,Curso de Redes Grátis 2.0,02 - Primeiro Acesso,aula,2,nao_iniciado,26,
33,MikroTik Inicial,Curso de Redes Grátis 2.0,03 - Configurando Redes Local + DHCP,aula,2,nao_iniciado,27,
34,MikroTik Inicial,Curso de Redes Grátis 2.0,04 - Ativando Link de Internet PPPoE + NAT,aula,2,nao_iniciado,28,
